supplier_name,region,country,function,cost,rating,average_delivery_time,number_of_escalations,year,resources
Consolidated Mercantile Inc.,Europe,Canada,Accounting and finance,660,82,204,188,2012,2700
Consolidated Trillion Resources Ltd.,Europe,Canada,Technical writer,480,61,295,162,2015,3800
Consolidated Water Co. Ltd.,Europe,Cayman Islands,Application developer,750,75,228,86,2008,8100
Consortium G Dina Group S.A. de C.V.,Europe,Mexico,Business intelligence analyst,700,74,222,56,2003,5200
Consumers Packaging Inc.,Europe,Canada,Application analyst,760,64,215,189,1997,4700
Continental Energy Corp,Europe,Canada,Data scientist,260,78,226,70,2021,2900
Controladora Comercial Mexicana S.A. de C.V.,Europe,Mexico,IT analyst,320,78,288,66,2012,2400
Converium Holding AG,Europe,Switzerland,UX designer,415,70,285,125,2000,1800
Cookson Group plc,Europe,United Kingdom,Technical writer,610,60,210,73,1992,3600
Coolbrands International Inc.,Europe,Canada,Market research,105,81,293,63,1999,7900
"Copamex Industries, S.A. de C.V.",Europe,Mexico,Data analyst,575,91,300,197,2008,2600
Copene - Petroquimica do Nordeste S.A.,Europe,Brazil,Web developer,100,69,299,59,2013,5600
Coral Gold Corp.,Europe,Canada,IT analyst,725,67,263,129,1991,1300
Coral Group plc,Europe,United Kingdom,IT coordinator,300,73,287,68,2004,3700
Cordiant Communications Group plc,Europe,United Kingdom,Full stack developer,450,93,205,151,1999,3200
Corel Corp.,Europe,Canada,Program analyst,340,64,287,114,2007,2000
Corimon C.A.,Europe,Venezuela,Accounting and finance,120,77,213,137,2002,8700
Corus Entertainment Inc.,Europe,Canada,Product manager,190,83,201,150,1993,2600
Corus Group plc,Europe,United Kingdom,Network engineer,335,84,201,71,2008,5800
Cott Corp.,Europe,Canada,Web developer,700,74,258,69,2021,5900
Counsel Corp.,Europe,Canada,Java developer,395,74,202,116,2006,5800
CP Ships Ltd.,Europe,Canada,.Net developer,445,87,292,71,2004,7000
Crayfish Co. Ltd.,Europe,Japan,.Net developer,470,90,232,144,1995,8800
Cream Minerals Ltd.,Europe,Canada,IT coordinator,665,76,296,135,2005,5600
Creative Technology Ltd.,Europe,Singapore,Software architect,360,79,235,116,2017,7400
Creator Capital Ltd.,Europe,Canada,Accounting and finance,620,72,218,121,2007,8000
Credicorp,Europe,Bermuda,Java developer,245,74,258,161,2003,6600
Credit Suisse Group,Europe,Switzerland,Computer programmer,135,63,279,149,2002,3900
Creo Products Inc.,Europe,Canada,Technical writer,485,72,234,145,2014,5700
Cresud Sacif,Europe,Argentina,UX designer,185,65,298,143,2017,4600
Crew Development Corp.,Europe,Canada,Market research,700,91,289,171,2015,6500
CRH plc,Europe,Ireland,Data scientist,795,70,204,128,2010,2000
Cristalerias de Chile S.A.,Europe,Chile,Business intelligence analyst,120,84,207,162,1995,7500
Crosswave Communications Inc.,Europe,Japan,Finance and accounting,120,93,219,187,2018,8300
Crow Technologies 1977 Ltd.,Europe,Israel,Application analyst,705,62,244,162,2006,7000
Crucell N.V.,Europe,Netherlands,Computer network architect,240,86,293,87,2013,4800
Cryopack Industries Inc.,Europe,Canada,Technical writer,560,93,201,104,1991,8200
Cryptologic Inc.,Europe,Canada,Accounting and finance,345,77,244,78,1991,4500
Crystal Graphite Corp.,Europe,Canada,Software quality assurance,575,60,252,92,1992,4200
Crystal Systems Solutions Ltd.,Europe,Israel,Application developer,500,77,236,90,2008,5900
Crystallex International Corp.,Europe,Canada,Full stack developer,450,84,221,74,2017,4600
CSR Ltd.,Europe,Australia,Computer network architect,375,86,238,70,2017,4100
CTI Holdings S.A.,Europe,Argentina,System administrator,730,75,209,117,2007,1500
Cumberland Resources Ltd.,Europe,Canada,Technical writer,415,77,293,53,1995,8700
Current Technology Corp.,Europe,Canada,Application developer,75,84,275,156,2003,8100
Cusac Gold Mines Ltd.,Europe,Canada,Network engineer,95,91,221,150,2020,3400
D G Jewelry of Canada Inc.,Europe,Canada,Business intelligence analyst,140,76,221,194,1990,6200
DaimlerChrysler AG,Europe,Germany,.Net developer,200,75,269,150,1997,3200
Dassault Systems S.A.,Europe,France,Network engineer,500,87,214,92,2000,7300
Datalex plc,Europe,Ireland,IT & Infrastructure,305,74,276,64,2017,8800
Datamirror Corp.,Europe,Canada,Software engineering manager,510,84,260,114,2013,8900
Datawave Systems Inc.,Europe,Canada,Finance and accounting,70,87,238,101,2019,6300
Daugherty  Resources Inc.,Europe,Canada,Technical writer,540,67,213,55,2013,6600
Dayton Mining Co.,Europe,Canada,IT & Infrastructure,790,61,227,135,2014,2900
De Rigo S.p.A.,Europe,Italy,IT & Infrastructure,560,92,245,118,1991,3800
Dealcheck.com Inc.,Europe,Canada,Java developer,625,88,300,95,1993,3100
Decoma International Inc.,Europe,Canada,Applications Development & Maintenance,700,66,268,179,2001,4600
Dectron Internationale Inc.,Europe,Canada,IT & Infrastructure,445,73,215,103,1999,3000
Delano Technology Corp.,Europe,Canada,Application developer,375,79,286,54,2014,8000
Delta Galil Industries Ltd.,Europe,Israel,Application analyst,790,72,225,183,2001,1200
Derek Resources Corp.,Europe,Canada,.Net developer,745,61,204,53,2004,3900
Derlan Manufacturing Inc.,Europe,Canada,Application developer,70,81,270,81,2012,5600
Desc S.A. de C.V.,Europe,Mexico,Finance and accounting,655,71,260,166,2002,3900
Descartes Systems Group Inc.,Europe,Canada,Finance and accounting,100,87,263,130,2001,3000
Deswell Industries Inc.,Europe,British Virgin Islands,Network engineer,725,64,200,89,2005,5400
Deutsche Bank Aktiengesellschaft,Europe,Germany,Systems analyst,180,86,266,144,2015,2400
Deutsche Telekom AG,Europe,Germany,Software engineering manager,430,80,202,62,2010,3200
DF China Technology Inc.,Europe,British Virgin Islands,software developer,710,78,288,190,2001,6200
Diageo plc,Europe,United Kingdom,Finance and accounting,200,65,258,53,2004,6500
Dialog Semiconductor plc,Europe,United Kingdom,Applications Development & Maintenance,795,66,218,153,1993,7200
Digital Star Inc.,Europe,British Virgin Islands,Applications Development & Maintenance,445,69,227,134,2017,1600
Digitale Telekabel AG,Europe,Germany,System administrator,505,85,253,189,1998,7700
Disco S.A.,Europe,Argentina,Web developer,220,80,227,176,1993,4000
Distribucion y Servicio D&S S.A.,Europe,Chile,UX designer,745,71,268,114,2017,1500
Diversinet Inc.,Europe,Canada,software developer,700,86,227,149,2012,5600
Dolphin Telecom plc,Europe,United Kingdom,Applications Development & Maintenance,315,76,216,191,2015,8400
Doman Industries Ltd.,Europe,Canada,Technical writer,220,62,220,88,2015,1300
Domtar Inc.,Europe,Canada,IT & Infrastructure,660,90,239,134,2008,1900
Donner Minerals Ltd.,Europe,Canada,IT & Infrastructure,125,92,237,65,2008,8500
Dorel Industries Inc.,Europe,Canada,Java developer,690,66,258,68,1999,8900
Dr. Reddy's Laboratories Ltd.,Europe,India,Software engineering manager,675,94,224,139,2012,3000
Draxis Health Inc.,Europe,Canada,Software quality assurance,365,80,252,69,1999,3700
DSG International Ltd.,Europe,British Virgin Islands,Market research,285,66,288,114,2008,7000
Ducati Motor Holdings S.p.A.,Europe,Italy,software developer,670,76,235,60,2001,4300
Dundee Bancorp Inc.,Europe,Canada,Data analyst,130,91,223,155,2016,8600
Durban Roodepoort Deep Ltd.,Europe,South Africa,Business intelligence analyst,225,69,247,106,1998,8900
Dynacare Inc.,Europe,Canada,Software engineering manager,425,70,221,137,2019,5400
Dynamic Digital Depth Inc.,Europe,Canada,Applications Development & Maintenance,215,88,225,104,1998,2200
Dynamic Oil & Gas Ltd.,Europe,Canada,Program analyst,470,73,229,167,2008,9000
DynaMotive Energy Systems Corp.,Europe,Canada,Product manager,350,86,271,93,2016,1500
Dynea International Oy,Europe,Finland,Network engineer,645,84,232,166,2014,8700
E*Comnetrix Inc.,Europe,Canada,Web developer,560,63,252,150,1997,5800
E.ON AG,Europe,Germany,Software architect,205,61,222,113,2009,2900
Ebookers.com plc,Europe,United Kingdom,Business intelligence analyst,760,70,276,160,2017,2900
Echo Bay Mines Ltd.,Europe,Canada,Software quality assurance,770,69,220,116,2009,8600
ECI Telecommunications Ltd.,Europe,Israel,Systems analyst,690,86,233,129,1992,7600
Ectel Ltd.,Europe,Israel,Full stack developer,720,89,268,183,1995,7500
EDAP TMS S.A.,Europe,France,Business intelligence analyst,245,74,238,110,2016,1600
E-digital Corp.,Europe,Canada,Application analyst,665,73,235,67,2020,4300
EDP - Electricidade de Portugal S.A.,Europe,Portugal,Software architect,165,80,201,166,1990,5300
Eganagoldpfeil (Holdings) Ltd.,Europe,Cayman Islands,Program analyst,680,83,269,118,2011,1800
Eidos plc,Europe,United Kingdom,Software quality assurance,305,81,233,178,2008,2800
Eiger Technology Inc.,Europe,Canada,System administrator,790,79,282,147,2017,5200
Eimo Oyj,Europe,Finland,Technical writer,705,78,255,192,1993,7500
Ek Chor China Motorcycle Company Ltd.,Europe,Bermuda,Mobile developer,70,75,229,154,2021,5000
Ekabel Hessen GmbH,Europe,Germany,Application developer,540,75,273,185,1998,2900
Eksportfinans A/S,Europe,Norway,Computer programmer,300,87,259,189,1999,1200
Elan Corp plc,Europe,Ireland,Market research,560,86,235,132,1993,1200
Elbit Ltd.,Europe,Israel,Computer network architect,525,69,261,100,2011,5200
Elbit Medical Imaging Ltd.,Europe,Israel,software developer,760,81,217,98,1996,7300
Elbit Systems Ltd.,Europe,Israel,Program analyst,615,74,261,130,2002,8200
Elbit Vision Systems Ltd.,Europe,Israel,Computer programmer,320,94,242,192,2019,1000
Electrochemical Industries 1952 Ltd.,Europe,Israel,Full stack developer,125,75,299,138,2015,5800
"Elephant & Castle Group, Inc.",Europe,Canada,System engineer,450,84,225,163,2019,4800
Eletson Holdings Inc.,Europe,Liberia,System engineer,705,93,203,58,2003,1300
Elron Electronic Industries Ltd.,Europe,Israel,Data scientist,775,77,277,187,2009,4600
Elscint Ltd.,Europe,Israel,UX designer,185,85,263,70,2003,1400
Elsevier N.V.,Europe,Netherlands,IT & Infrastructure,280,84,296,109,2014,1800
Eltek Ltd.,Europe,Israel,Java developer,655,62,235,97,2009,4200
Embotelladora Andina S.A.,Europe,Chile,Application analyst,230,88,219,99,1994,2800
Embraer-Empresa Brasileira de Aeronautica S.A.,Europe,Brazil,UX designer,735,85,218,150,2010,8700
Embratel Participacoes S.A.,Europe,Brazil,Full stack developer,220,73,209,183,1993,8100
Emco Ltd.,Europe,Canada,Technical writer,395,79,228,118,2015,7200
Empresa Electrica Pehuenche S.A.,Europe,Chile,Applications Development & Maintenance,620,88,243,92,1994,8300
Empresa Nacional de Electricidad S.A. - Endesa,Europe,Chile,Applications Development & Maintenance,115,90,224,52,1997,3400
Empresas ICA Sociedad Controladora S.A.,Europe,Mexico,Accounting and finance,650,93,245,87,1994,4400
Enbridge Inc.,Europe,Canada,System administrator,610,85,202,180,2006,8400
Endesa S.A.,Europe,Spain,Software architect,435,82,287,58,1999,4500
Enel S.p.A.,Europe,Italy,Business intelligence analyst,635,93,218,70,2018,6100
Energis plc,Europe,United Kingdom,Product manager,515,61,243,71,2020,1500
Energy Power Systems Ltd.,Europe,Canada,Computer network architect,230,86,286,61,2020,1200
Enerplus Resources Fund,Europe,Canada,System administrator,355,63,290,198,1994,4700
Enersis S.A.,Europe,Chile,Program analyst,695,77,273,92,2015,5500
Engel General Developers Ltd.,Europe,Israel,software developer,425,61,297,65,2004,2600
ENI S.p.A.,Europe,Italy,Mobile developer,400,91,300,168,2014,2200
Enitel ASA,Europe,Norway,Mobile developer,470,62,231,134,2001,5900
Enodis plc,Europe,United Kingdom,System engineer,310,61,259,143,2007,5700
Enterprise Oil plc,Europe,United Kingdom,Web developer,650,73,219,163,1992,5400
Enterra Energy Corp.,Europe,Canada,Computer programmer,770,94,296,149,1996,1700
"Envoy Communications Group, Inc.",Europe,Canada,System administrator,695,74,278,108,2018,8700
EPCOS AG,Europe,Germany,Full stack developer,470,87,281,200,1996,8100
Equant N.V.,Europe,Netherlands,Computer programmer,470,89,276,127,2011,6600
Equity Finance Holding Corp.,Europe,Belize,IT & Infrastructure,120,72,296,193,1997,8900
Esat Group Ltd,Europe,Ireland,Computer network architect,120,66,284,82,2010,3200
e-Sim Ltd.,Europe,Israel,Application analyst,540,69,248,57,2007,2600
Espirito Santo Centrais Eletricas S.A. - Escelsa,Europe,Brazil,Applications Development & Maintenance,610,63,242,65,2019,2100
Espirito Santo Financial Group S.A.,Europe,Luxembourg,Accounting and finance,545,81,250,81,2004,3500
Etablissements Delhaize Freres & Cie - Le Lion,Europe,Belgium,Java developer,600,78,212,119,1998,6400
Etruscan Resources Inc.,Europe,Canada,IT & Infrastructure,335,74,231,95,2009,3300
ETZ Lavud Ltd.,Europe,Israel,Mobile developer,745,70,227,98,2010,2200
Euro Disney S.C.A.,Europe,France,Business intelligence analyst,175,86,284,59,1992,2300
Euro-Tech Holdings Inc.,Europe,British Virgin Islands,Software engineering manager,100,63,213,200,2013,6000
"Eurotel Bratislava, A.S.",Europe,Slovak Republic,Network engineer,785,82,291,112,2018,5000
EuroTrust A/S,Europe,Denmark,Systems analyst,115,73,264,87,2010,4500
Eurozinc Mining Corp.,Europe,Canada,Accounting and finance,265,83,263,176,1998,7800
Excel Maritime Carriers Ltd.,Europe,Liberia,Application developer,570,83,239,168,2020,7600
Exfo Electro-Optical Engineering Inc.,Europe,Canada,IT & Infrastructure,185,88,248,159,2001,5900
Extendicare Inc.,Europe,Canada,Program analyst,770,62,226,73,2011,7800
Fage Dairy Industry S.A.,Europe,Greece,IT analyst,75,65,228,71,2014,6400
Fahnestock Viner Holdings Inc.,Europe,Canada,Application analyst,500,80,203,172,1990,8800
Fairfax Financial Holdings Ltd.,Europe,Canada,Data analyst,685,84,257,140,2002,3100
Fairfield Minerals Ltd.,Europe,Canada,Software architect,735,87,208,179,2005,2400
Fairmont Hotels & Resorts Inc.,Europe,Canada,Web developer,195,62,229,94,2017,5800
Falconbridge Ltd.,Europe,Canada,System administrator,245,94,278,89,1992,4800
Fantom Technologies Inc.,Europe,Canada,Program analyst,290,73,268,130,1997,2100
Fiat S.p.A.,Europe,Italy,Network engineer,295,70,287,135,1997,9000
Fila Holdings S.p.A.,Europe,Italy,Web developer,235,74,250,189,2004,8300
Filtronic plc,Europe,United Kingdom,Application analyst,305,71,268,175,1994,8200
FirstService Corp.,Europe,Canada,Data scientist,690,73,221,165,2005,7200
Fisher & Paykel Industries Ltd.,Europe,New Zealand,Data analyst,585,82,265,194,1996,4700
Flag Ltd.,Europe,Bermuda,Software architect,545,89,254,153,2014,8700
Flamel Technologies S.A.,Europe,France,Network engineer,670,62,232,182,2018,3700
Fletcher Building Ltd.,Europe,New Zealand,Application analyst,150,80,289,144,1999,5100
Fletcher Challenge Forests Ltd.,Europe,New Zealand,.Net developer,785,77,208,119,2006,7300
Flotek Industries Inc.,Europe,Canada,Finance and accounting,415,94,210,131,1999,6100
Fomento Economico Mexicano S.A. de C.V.,Europe,Mexico,Product manager,545,63,263,73,2018,2500
Forbes Medi-Tech Inc.,Europe,Canada,Web developer,685,66,288,95,2021,2000
"Fording, Inc.",Europe,Canada,Accounting and finance,170,77,235,181,2006,5100
Formula Systems (1985) Ltd.,Europe,Israel,Market research,370,78,237,199,2007,3500
Four Seasons Hotels Inc.,Europe,Canada,Program analyst,220,83,267,195,1994,1300
France Telecom,Europe,France,software developer,165,63,246,70,2011,7000
Franklin Lake Resources Ltd.,Europe,Canada,Market research,495,71,298,130,2019,7100
Fresenius Medical Care AG,Europe,Germany,software developer,690,65,234,125,1993,6900
Fresh Del Monte Produce Inc.,Europe,Cayman Islands,Data analyst,775,67,247,94,2018,6700
Frisco Bay Industries Ltd.,Europe,Canada,Business intelligence analyst,305,93,255,62,2017,7400
Frontline Ltd.,Europe,Bermuda,Accounting and finance,395,77,242,148,2018,4400
Futuremedia plc,Europe,United Kingdom,Web developer,265,67,299,87,1998,8800
G. Willi-Food International Ltd.,Europe,Israel,Product manager,725,88,297,103,2005,9000
Gala Group Holdings plc,Europe,United Kingdom,Application analyst,770,63,210,111,2004,3800
Galen Holdings plc,Europe,United Kingdom,IT coordinator,735,84,299,133,2020,5200
Gallaher Group plc,Europe,United Kingdom,Software architect,85,60,263,186,2010,3900
Gearbulk Holding Ltd.,Europe,Bermuda,System administrator,470,94,297,128,2004,2700
Gee-Ten Ventures Inc.,Europe,Canada,Market research,285,78,246,53,2016,3800
Gemplus International S.A.,Europe,Luxembourg,System engineer,340,77,287,80,1998,5300
Gener S.A.,Europe,Chile,Software architect,345,70,222,119,1990,4200
Genesis Microchip Inc.,Europe,Canada,Systems analyst,225,66,281,155,2017,3300
Genesys S.A.,Europe,France,IT & Infrastructure,470,62,293,110,2005,1100
Genetronics Biomedical Ltd.,Europe,Canada,Web developer,710,85,200,103,2015,4200
Gensci Regeneration Sciences Inc.,Europe,Canada,UX designer,470,90,273,190,2019,4000
Genset,Europe,France,Web developer,610,83,267,102,2017,8200
Gentia Software plc,Europe,United Kingdom,Market research,720,74,235,83,1994,4300
Gentry Resources Ltd.,Europe,Canada,IT analyst,760,79,255,56,2009,7200
Gerdau S.A.,Europe,Brazil,Software engineering manager,455,94,219,157,1992,3800
Getgo Mail.com Ltd.,Europe,British Virgin Islands,Product manager,355,78,269,79,2008,2200
Getty Copper Corp.,Europe,Canada,System administrator,730,62,253,95,2006,7400
Gigamedia Ltd.,Europe,Singapore,.Net developer,510,79,241,132,2012,4700
Gilat Satellite Networks Ltd.,Europe,Israel,Product manager,465,88,266,155,1995,9000
Gildan Activeware Inc.,Europe,Canada,Application analyst,695,68,215,173,1997,6500
Given Imaging Ltd.,Europe,Israel,Network engineer,625,87,292,96,1991,7900
Glamis Gold Ltd.,Europe,Canada,Program analyst,625,73,290,119,2018,1000
GlaxoSmithKline plc,Europe,United Kingdom,Finance and accounting,280,70,251,177,1995,6600
Glencore Nickel Pty Ltd.,Europe,Australia,.Net developer,190,77,229,193,2011,4300
Glengarry Holdings Ltd.,Europe,Bermuda,Product manager,390,92,266,161,2008,3900
Global Light Telecommunications Inc.,Europe,Canada,Computer network architect,650,86,237,78,1990,4300
Global SantaFe Corp.,Europe,Cayman Islands,Software engineering manager,95,68,259,93,2017,6400
Global Sources Ltd.,Europe,Bermuda,Web developer,460,79,260,154,2011,1700
Global-Tech Appliances Inc.,Europe,British Virgin Islands,Systems analyst,255,79,212,63,2006,6600
Globaltex Industries Inc.,Europe,Canada,System engineer,105,84,292,124,2010,9000
Globe Telecom plc,Europe,Philippines,Software architect,415,67,258,138,2008,8100
Globetech Ventures Corp.,Europe,Canada,IT coordinator,650,64,214,69,1999,1900
Globex Mining Enterprises Inc.,Europe,Canada,.Net developer,705,82,292,108,1998,5800
Globo Cabo S.A.,Europe,Brazil,Market research,775,75,225,129,1998,8300
Gold Reserve Inc.,Europe,Canada,Computer programmer,635,79,284,197,2017,5100
Goldbelt Resources Ltd.,Europe,Canada,System engineer,715,64,231,83,1997,2500
"Goldcorp, Inc.",Europe,Canada,Java developer,180,86,252,145,2002,7600
Golden Nugget Exploration Inc.,Europe,Canada,Java developer,560,64,296,139,2000,5600
Golden Rule Resources Ltd.,Europe,Canada,Computer programmer,295,64,291,97,2001,6800
Golden Star Resources Ltd.,Europe,Canada,Computer programmer,105,80,284,141,2012,5500
Goran Capital Inc.,Europe,Canada,Applications Development & Maintenance,360,92,253,70,2002,8300
Governor and Company of the Bank of Ireland,Europe,Ireland,Data scientist,625,88,208,162,1998,4900
GrandeTel Technologies Inc.,Europe,Canada,Computer programmer,610,80,292,54,2005,2600
Grapes Communications B.V.,Europe,Netherlands,Computer network architect,110,70,300,151,1990,2100
Great Basin Gold Ltd.,Europe,Canada,Computer programmer,515,90,213,185,1994,8600
Great Lakes Power Inc.,Europe,Canada,Technical writer,420,83,212,185,2016,3700
Groupe Danone,Europe,France,System administrator,410,71,240,191,2002,1100
"Gruma, S.A. de C.V.",Europe,Mexico,Mobile developer,310,85,203,79,1996,1600
"Grupo Aeroportuario del Sureste, S.A. de C.V.",Europe,Mexico,Software quality assurance,200,65,257,114,2012,6300
"Grupo Azucarero, S.A. de C.V.",Europe,Mexico,Finance and accounting,300,60,247,126,2016,7100
"Grupo Casa Saba, S.A. de C.V.",Europe,Mexico,Business intelligence analyst,610,62,284,117,1993,3400
Grupo Elektra S.A.,Europe,Mexico,IT analyst,510,90,228,50,2006,1800
Grupo Financiero Galicia S.A.,Europe,Argentina,.Net developer,560,66,209,196,2004,1900
Grupo Imsa S.A. de C.V.,Europe,Mexico,Applications Development & Maintenance,445,91,287,123,2014,8200
Grupo Industrial Durango S.A. de C.V.,Europe,Mexico,Data analyst,85,69,229,158,2013,4200
Grupo Industrial Maseca S.A. de C.V.,Europe,Mexico,Finance and accounting,705,73,269,103,2020,4300
"Grupo Iusacell Celular, S.A. de C.V.",Europe,Mexico,Data analyst,720,88,241,197,2005,3000
"Grupo Iusacell, S.A. de C.V.",Europe,Mexico,Data scientist,575,67,269,99,2007,4500
"Grupo Minero Mexicano, S.A. de C.V.",Europe,Mexico,software developer,160,70,286,168,2014,6500
Grupo Radio Centro S.A. de C.V.,Europe,Mexico,Market research,310,78,204,58,2012,6400
Grupo Simec S.A. de C.V.,Europe,Mexico,Systems analyst,715,85,290,73,2006,8400
Grupo Televisa S.A.,Europe,Mexico,Systems analyst,305,74,285,119,2009,8500
"Grupo TMM, S.A. de C.V.",Europe,Mexico,Technical writer,210,87,269,143,2012,5900
Grupo Tribasa S.A. de C.V.,Europe,Mexico,Computer network architect,730,80,208,166,2011,1000
GSI Lumonics Inc.,Europe,Canada,.Net developer,430,82,263,106,2021,7000
GT Group Telecom Inc.,Europe,Canada,software developer,715,66,287,106,2020,2600
Guangshen Railway Co. Ltd.,Europe,China,Data scientist,465,64,271,185,2013,2300
Guangzhou-Shenzen Superhighway Holdings Ltd.,Europe,British Virgin Islands,Data analyst,605,92,289,196,2001,3000
Gucci Group N.V.,Europe,Netherlands,.Net developer,135,61,220,94,2002,6300
Gulf Indonesia Resources Ltd.,Europe,Canada,Business intelligence analyst,340,65,258,75,1996,2700
Haemacure Corp.,Europe,Canada,Software engineering manager,465,94,287,51,1990,7800
"Hanaro Telecom, Inc.",Europe,Korea,Systems analyst,750,65,244,76,2013,4500
Hanson plc,Europe,United Kingdom,Full stack developer,630,68,270,193,2008,8700
Harmony Gold Mining Co. Ltd.,Europe,South Africa,Business intelligence analyst,665,82,274,169,2015,6100
Havas Advertising,Europe,France,Application developer,200,91,216,95,2001,6500
HDFC Bank Ltd.,Europe,India,Computer programmer,125,80,201,96,2009,3400
Head Holding Unternehmensbeteiligung GMBH,Europe,Austria,Software architect,675,84,237,100,2004,1100
Head N.V.,Europe,Netherlands,Product manager,155,87,230,112,2000,6800
Healthcare Technologies Ltd.,Europe,Israel,Software quality assurance,425,94,205,129,1999,3300
Hellenic Telecommunications Organization S.A. - OTE,Europe,Greece,Data analyst,100,92,282,169,2002,3500
Hemosol Inc.,Europe,Canada,Software architect,745,84,278,127,1998,6100
Hibernia Foods plc,Europe,Ireland,Data scientist,625,75,280,126,1995,1900
Highway Holdings Ltd.,Europe,British Virgin Islands,IT & Infrastructure,455,79,237,154,1995,8500
Highwood Resources Ltd.,Europe,Canada,Business intelligence analyst,415,67,245,173,2019,2500
Hilan Tech Ltd.,Europe,Israel,Program analyst,215,93,298,139,1994,3200
Hilton Petroleum Ltd.,Europe,Canada,System administrator,530,66,265,157,2013,7500
Hitachi Ltd.,Europe,Japan,Accounting and finance,225,71,289,133,2021,3500
HMV Media Group plc,Europe,United Kingdom,Data scientist,735,62,295,193,1992,9000
Hollinger Inc.,Europe,Canada,Data scientist,480,65,287,105,2010,3000
Honda Motor Co. Ltd.,Europe,Japan,Software engineering manager,70,71,257,188,1992,1000
Household Financial Corp. Ltd.,Europe,Canada,software developer,190,92,284,192,2001,6800
HQI Translec Chile S.A.,Europe,Chile,Accounting and finance,510,93,235,102,2016,6600
HSBC Bank plc,Europe,United Kingdom,Data analyst,200,77,277,135,2011,8400
HSBC Holdings plc,Europe,United Kingdom,System engineer,650,87,257,187,2006,6600
Huaneng Power International Inc.,Europe,China,System administrator,760,81,244,87,2004,3300
Hummingbird Ltd.,Europe,Canada,Technical writer,610,65,295,64,1990,2000
Huntingdon Life Sciences Group plc,Europe,United Kingdom,System engineer,555,90,232,136,2019,5300
Hurricane Hydrocarbons Ltd.,Europe,Canada,Software quality assurance,450,74,221,61,1993,4500
Husky Energy Inc.,Europe,Canada,Full stack developer,260,82,218,79,2017,7200
Hydro One Inc.,Europe,Canada,IT coordinator,85,80,257,86,2017,1400
Hydrogenics Corp.,Europe,Canada,Network engineer,195,91,283,172,2014,7300
I.I.S. Intelligent Information Systems Ltd.,Europe,Israel,Data scientist,275,82,235,72,2020,5000
iaNett International Systems Ltd.,Europe,Canada,System engineer,285,62,258,77,2005,1000
I-Cable Communications Ltd.,Europe,Hong Kong,Java developer,345,79,267,132,1991,6700
ICICI Bank Ltd.,Europe,India,Business intelligence analyst,505,66,239,170,2021,5300
ICICI Ltd.,Europe,India,Application developer,185,71,251,168,2001,8400
ICON plc,Europe,Ireland,Data scientist,115,84,269,151,2009,3800
ICOS Vision Systems Corp N.V.,Europe,Belgium,Application developer,730,91,227,170,2003,2700
ICTS International N.V.,Europe,Netherlands,System engineer,275,83,256,196,2017,3400
ID Biomedical Corp.,Europe,Canada,Software architect,775,81,245,144,2014,2600
IFCO Systems N.V.,Europe,Netherlands,Network engineer,790,70,258,120,2016,1200
IGN Internet Global Network Inc.,Europe,Canada,IT coordinator,150,72,233,86,2010,6200
Ilog S.A.,Europe,France,software developer,285,78,254,63,2018,1600
IMA Exploration Inc.,Europe,Canada,Mobile developer,125,75,221,168,2021,6700
IMagic TV Inc.,Europe,Canada,UX designer,525,87,206,116,2003,2900
Imax Corp.,Europe,Canada,Software quality assurance,715,66,252,165,2008,5500
Immune Network Research Ltd.,Europe,Canada,Applications Development & Maintenance,125,87,288,159,2001,8800
IMP Industrial Mineral Park Mining Corp.,Europe,Canada,.Net developer,135,84,219,50,2007,6000
Imperial Chemical Industries plc,Europe,United Kingdom,Application developer,300,71,256,66,2012,6400
"Imperial Ginseng Products, Ltd.",Europe,Canada,Full stack developer,105,88,224,193,1997,4400
Imperial Oil Ltd.,Europe,Canada,Market research,130,60,288,149,2000,7800
Imperial Tobacco Group plc,Europe,United Kingdom,IT analyst,85,67,231,167,2002,5800
Impress Metal Packaging Holdings B.V.,Europe,Netherlands,Software engineering manager,795,86,244,159,2000,2800
Incam AG,Europe,Germany,Product manager,335,70,261,184,2019,6800
Inco Ltd.,Europe,Canada,Data analyst,455,86,242,78,2012,6600
Indigo N.V.,Europe,Neth. Antilles,Data scientist,315,89,289,88,1996,8500
Indo-Pacific Energy Ltd.,Europe,New Zealand,Software engineering manager,575,64,248,178,2009,4700
Industrial Development Bank of Israel Ltd.,Europe,Israel,System engineer,775,87,214,92,2010,6200
Industrias Bachoco S.A. de C.V.,Europe,Mexico,Web developer,705,61,239,116,2006,5800
Industrie Natuzzi S.p.A.,Europe,Italy,Program analyst,495,92,300,93,2018,1400
Industriforvaltnings AB Kinnevik,Europe,Sweden,IT analyst,770,77,205,79,2011,7200
Ineos Acrylics Group Holdings plc,Europe,United Kingdom,Product manager,475,84,233,64,2019,2700
Inficon Holding AG,Europe,Switzerland,Mobile developer,100,64,285,72,2005,1800
Infineon Technologies AG,Europe,Germany,Program analyst,705,67,253,190,1994,2700
Infosys Technologies Inc.,Europe,India,software developer,780,63,205,83,2001,3500
Infovista S.A.,Europe,France,Product manager,790,83,277,124,2010,5900
Infowave Software Inc.,Europe,Canada,UX designer,645,82,266,62,2009,6800
ING Groep N.V.,Europe,Netherlands,Network engineer,170,94,245,87,2012,4200
Innogy Holdings plc,Europe,United Kingdom,Software quality assurance,750,66,218,118,1998,4000
